YearWeek,ExcludedCases,PendingCases,ConfirmedCases,AverageTemperature
201603,22,0,67,28.261502881939855
201604,37,0,83,28.88099327839669
201605,57,0,155,27.847314817302895
201606,84,0,214,28.44028919317942
201607,96,0,311,27.944521053117917
201608,125,0,305,28.130201339272947
201609,135,0,246,28.58690366651177
201610,139,0,132,27.132067224636007
201611,114,0,77,30.001216450349567
201612,96,0,49,26.86135305995903
201613,63,0,31,26.611723095465624
201614,39,0,18,28.94256384854805
201615,32,0,23,28.534656935805547
201616,36,0,16,28.32565532568939
201617,28,0,11,28.28842228469614
201618,28,0,5,27.606371269379572
201619,15,0,2,26.67990493753528
201620,20,0,2,27.611505134009462
201621,19,0,3,26.817080131098248
201622,8,0,2,28.427902842822743
201623,11,0,2,27.264266994697476
201624,12,0,1,26.54436844620173
201625,11,0,4,27.00702106813587
201626,11,0,1,27.699879630859115
201627,12,0,4,26.681764890574144
201628,10,0,1,26.38181031460631
201629,4,0,3,27.40625918845928
201630,14,0,1,27.366079814870716
201631,7,0,4,26.572711335185492
201632,4,0,1,26.567157471732923
201633,5,0,3,27.228786981503507
201634,11,0,1,25.507193969443172
201635,11,0,2,25.506355803358566
201636,10,0,3,26.13088399371877
201637,12,0,6,26.559873385716173
201638,11,0,3,27.00822042548284
201639,11,0,6,28.096661399291204
201640,16,0,3,27.402957128000477
201641,18,0,7,26.309351297291848
201642,24,0,14,26.3742659418094
201643,24,0,19,25.314745107531095
201644,39,0,20,26.22275365863333
201645,25,0,32,25.8766004781624
201646,37,0,21,26.411969999877435
201647,28,0,25,25.18601281844384
201648,39,0,18,26.45658259869414
201649,24,0,24,27.393967319912363
201650,35,0,8,25.676460580909744
201651,34,0,12,26.110924773922356
201652,33,0,12,26.323349365991344
201701,19,0,19,25.15597722485121
201702,29,0,7,25.705282501004277
201703,20,0,10,25.417774742432464
201704,28,0,6,25.426850762656315
201705,29,0,15,24.48015720270883
201706,26,0,13,25.201669483280057
201707,25,0,12,25.599149922723377
201708,18,0,11,26.476287561729784
201709,25,0,11,25.90840710247676
201710,23,0,12,27.02631105635992
201711,17,0,6,24.02977335841713
201712,20,0,12,25.59343388048267
201713,16,0,13,24.828447571957163
201714,16,0,11,26.7589008218933
201715,14,0,6,23.68479192577729
201716,9,0,13,23.57736069140848
201717,19,0,17,23.74168221060204
201718,20,0,23,22.14117145419307
201719,11,0,22,23.66330447927893
201720,15,0,27,23.35391916186281
201721,22,0,30,24.18743793234953
201722,34,0,54,24.302792444107293
201723,33,0,54,25.761199630002835
201724,43,0,80,24.75944495142981
201725,44,0,84,23.15610978003817
201726,33,0,116,22.75859108680903
