YearWeek,ExcludedCases,PendingCases,ConfirmedCases,AverageTemperature,Year,Week,Season
201511,24,0,36,27.491585065711156,2015,11,1
201512,23,0,41,30.08370118017799,2015,12,1
201513,19,0,24,28.92386070017506,2015,13,1
201514,20,0,23,27.92520919923996,2015,14,1
201515,20,0,29,29.361911535683618,2015,15,1
201516,16,0,21,29.091957968126252,2015,16,1
201517,20,0,27,28.285771606526428,2015,17,1
201518,23,0,21,28.948880779807677,2015,18,1
201519,21,0,31,28.486855309088337,2015,19,1
201520,22,0,30,28.978776462333784,2015,20,1
201521,29,0,29,29.520480002736015,2015,21,1
201522,19,0,43,30.43745635549276,2015,22,1
201523,23,0,54,27.606714251653,2015,23,2
201524,27,0,44,30.97065333626855,2015,24,2
201525,20,0,34,26.878622373222218,2015,25,2
201526,12,0,27,28.67201528884158,2015,26,2
201527,9,0,19,29.40520780149417,2015,27,2
201528,15,0,22,29.090972673877065,2015,28,2
201529,8,0,7,28.18037149745388,2015,29,2
201530,10,0,14,28.588038978049635,2015,30,2
201531,10,0,9,28.29625050488051,2015,31,2
201532,14,0,6,28.192976893727575,2015,32,2
201533,7,0,4,29.62503395882525,2015,33,2
201534,10,0,12,29.125537558901705,2015,34,2
201535,17,0,8,28.068702688808443,2015,35,2
201536,12,0,8,29.654302370634785,2015,36,3
201537,10,0,3,29.05509222721058,2015,37,3
201538,13,0,1,29.553745036305372,2015,38,3
201539,11,0,4,29.36360197052246,2015,39,3
201540,8,0,0,27.898068328809213,2015,40,3
201541,8,0,1,28.159972510666755,2015,41,3
201542,10,0,1,29.46053736711942,2015,42,3
201543,5,0,3,29.31670423856206,2015,43,3
201544,11,0,4,28.67564351160207,2015,44,3
201545,8,0,4,28.772413755669625,2015,45,3
201546,15,0,5,29.891292534943897,2015,46,3
201547,10,0,3,27.980597517114266,2015,47,3
201548,15,0,6,29.077807553914756,2015,48,3
201549,13,0,3,28.28705878710545,2015,49,4
201550,13,0,8,28.23011150310675,2015,50,4
201551,19,0,11,29.50511082511579,2015,51,4
201552,18,0,14,29.19029158891125,2015,52,4
201601,23,0,30,29.136926142718487,2016,1,4
201602,23,0,34,29.587436580666804,2016,2,4
201603,22,0,67,28.261502881939855,2016,3,4
201604,37,0,83,28.88099327839669,2016,4,4
201605,57,0,155,27.847314817302895,2016,5,4
201606,84,0,214,28.44028919317942,2016,6,4
201607,96,0,311,27.944521053117917,2016,7,4
201608,125,0,305,28.130201339272947,2016,8,4
201609,135,0,246,28.58690366651177,2016,9,1
201610,139,0,132,27.132067224636007,2016,10,1
201611,114,0,77,30.001216450349567,2016,11,1
201612,96,0,49,26.86135305995903,2016,12,1
201613,63,0,31,26.611723095465624,2016,13,1
201614,39,0,18,28.94256384854805,2016,14,1
201615,32,0,23,28.534656935805547,2016,15,1
201616,36,0,16,28.32565532568939,2016,16,1
201617,28,0,11,28.28842228469614,2016,17,1
201618,28,0,5,27.606371269379572,2016,18,1
201619,15,0,2,26.67990493753528,2016,19,1
201620,20,0,2,27.611505134009462,2016,20,1
201621,19,0,3,26.817080131098248,2016,21,1
201622,8,0,2,28.427902842822743,2016,22,1
201623,11,0,2,27.264266994697476,2016,23,2
201624,12,0,1,26.54436844620173,2016,24,2
201625,11,0,4,27.00702106813587,2016,25,2
201626,11,0,1,27.699879630859115,2016,26,2
201627,12,0,4,26.681764890574144,2016,27,2
201628,10,0,1,26.38181031460631,2016,28,2
201629,4,0,3,27.40625918845928,2016,29,2
201630,14,0,1,27.366079814870716,2016,30,2
201631,7,0,4,26.572711335185492,2016,31,2
201632,4,0,1,26.567157471732923,2016,32,2
201633,5,0,3,27.228786981503507,2016,33,2
201634,11,0,1,25.507193969443172,2016,34,2
201635,11,0,2,25.506355803358566,2016,35,2
201636,10,0,3,26.13088399371877,2016,36,3
201637,12,0,6,26.559873385716173,2016,37,3
201638,11,0,3,27.00822042548284,2016,38,3
201639,11,0,6,28.096661399291204,2016,39,3
201640,16,0,3,27.402957128000477,2016,40,3
201641,18,0,7,26.309351297291848,2016,41,3
201642,24,0,14,26.3742659418094,2016,42,3
201643,24,0,19,25.314745107531095,2016,43,3
201644,39,0,20,26.22275365863333,2016,44,3
201645,25,0,32,25.8766004781624,2016,45,3
201646,37,0,21,26.411969999877435,2016,46,3
201647,28,0,25,25.18601281844384,2016,47,3
201648,39,0,18,26.45658259869414,2016,48,3
201649,24,0,24,27.393967319912363,2016,49,4
201650,35,0,8,25.676460580909744,2016,50,4
201651,34,0,12,26.110924773922356,2016,51,4
201652,33,0,12,26.323349365991344,2016,52,4
201701,19,0,19,25.15597722485121,2017,1,4
201702,29,0,7,25.705282501004277,2017,2,4
201703,20,0,10,25.417774742432464,2017,3,4
201704,28,0,6,25.426850762656315,2017,4,4
201705,29,0,15,24.48015720270883,2017,5,4
201706,26,0,13,25.201669483280057,2017,6,4
201707,25,0,12,25.599149922723377,2017,7,4
201708,18,0,11,26.476287561729784,2017,8,4
201709,25,0,11,25.90840710247676,2017,9,1
201710,23,0,12,27.02631105635992,2017,10,1
201711,17,0,6,24.02977335841713,2017,11,1
201712,20,0,12,25.59343388048267,2017,12,1
201713,16,0,13,24.828447571957163,2017,13,1
201714,16,0,11,26.7589008218933,2017,14,1
201715,14,0,6,23.68479192577729,2017,15,1
201716,9,0,13,23.57736069140848,2017,16,1
201717,19,0,17,23.74168221060204,2017,17,1
201718,20,0,23,22.14117145419307,2017,18,1
201719,11,0,22,23.66330447927893,2017,19,1
201720,15,0,27,23.35391916186281,2017,20,1
201721,22,0,30,24.18743793234953,2017,21,1
201722,34,0,54,24.302792444107293,2017,22,1
201723,33,0,54,25.761199630002835,2017,23,2
201724,43,0,80,24.75944495142981,2017,24,2
201725,44,0,84,23.15610978003817,2017,25,2
201726,33,0,116,22.75859108680903,2017,26,2
201727,41,0,120,24.076947962293456,2017,27,2
201728,40,0,110,22.2049107469141,2017,28,2
201729,35,0,74,25.29671788293689,2017,29,2
201730,35,0,58,24.58481440095162,2017,30,2
201731,26,0,44,22.87631379127341,2017,31,2
201732,30,0,35,21.572470077435035,2017,32,2
201733,22,0,35,24.579592143839115,2017,33,2
201734,24,0,20,23.05129508756888,2017,34,2
201735,16,0,14,24.343766407942752,2017,35,2
201736,18,0,20,21.45163760032272,2017,36,3
201737,19,0,11,22.386805399311104,2017,37,3
201738,13,0,10,22.93153928513085,2017,38,3
201739,14,0,9,22.9133913423252,2017,39,3
201740,19,0,6,22.356460440229007,2017,40,3
201741,18,0,4,23.369491007203543,2017,41,3
201742,19,0,5,21.619135808621245,2017,42,3
201743,17,0,7,22.484491916130334,2017,43,3
201744,15,0,10,22.687282196011324,2017,44,3
201745,17,0,3,23.02154056150596,2017,45,3
201746,18,0,2,23.158831768683896,2017,46,3
201747,20,0,8,21.262689961904933,2017,47,3
201748,24,0,10,20.79333304615497,2017,48,3
201749,26,0,8,23.545239201936894,2017,49,4
201750,24,0,10,22.539991555165773,2017,50,4
201751,27,0,23,21.399306169777415,2017,51,4
201752,21,0,17,23.63905984500429,2017,52,4
201801,38,0,40,22.143697666922417,2018,1,4
201802,42,0,46,23.147435379841177,2018,2,4
201803,57,0,49,21.975771840335252,2018,3,4
201804,56,0,51,23.90911644695492,2018,4,4
201805,47,0,57,23.543824527663933,2018,5,4
201806,50,0,56,21.47963469988945,2018,6,4
201807,46,0,74,22.640284962470673,2018,7,4
201808,43,0,68,22.254205124249253,2018,8,4
201809,37,0,36,22.91757589534425,2018,9,1
201810,26,0,42,20.524136040379588,2018,10,1
201811,29,0,30,22.115226124105924,2018,11,1
201812,17,0,23,22.42771431410487,2018,12,1
201813,23,0,14,19.550665503979957,2018,13,1
201814,20,0,12,20.066261640885088,2018,14,1
201815,11,0,12,19.15040313893855,2018,15,1
201816,9,0,6,20.86034364540189,2018,16,1
201817,9,0,7,21.787407898790203,2018,17,1
201818,13,0,11,22.512337858238062,2018,18,1
201819,8,0,8,21.003077505947605,2018,19,1
201820,14,0,6,22.472377541732524,2018,20,1
201821,12,0,10,19.378439808579735,2018,21,1
201822,7,0,11,18.969938098072863,2018,22,1
201823,11,0,11,20.5325521091648,2018,23,2
201824,13,0,11,20.88694452763412,2018,24,2
201825,10,0,9,20.38496360123412,2018,25,2
201826,8,0,12,18.264995519921737,2018,26,2
201827,19,0,17,20.15809685108222,2018,27,2
201828,18,0,27,18.85752666072355,2018,28,2
201829,9,0,32,20.74644798069184,2018,29,2
201830,13,0,22,20.358152948592046,2018,30,2
201831,17,0,23,18.96645418680124,2018,31,2
201832,14,0,24,19.307246326425304,2018,32,2
201833,13,0,28,18.67667899250644,2018,33,2
201834,8,0,19,19.58799268775562,2018,34,2
201835,7,0,18,20.52059337616343,2018,35,2
201836,20,0,26,18.494504279960037,2018,36,3
201837,9,0,18,19.899056112446825,2018,37,3
201838,11,0,22,18.779531249189937,2018,38,3
201839,21,0,14,18.43169530593343,2018,39,3
201840,12,0,15,19.032317048874617,2018,40,3
201841,10,0,16,18.0188843570432,2018,41,3
201842,18,0,15,18.415256644748787,2018,42,3
201843,18,0,4,17.685807328140513,2018,43,3
201844,15,0,10,20.76318962427915,2018,44,3
201845,19,0,12,18.748507313967888,2018,45,3
201846,12,0,8,17.92829752463697,2018,46,3
201847,16,0,9,18.756782213997177,2018,47,3
201848,15,0,12,18.34525352420552,2018,48,3
201849,19,0,21,18.15139124499653,2018,49,4
201850,20,0,20,18.90130681520657,2018,50,4
201851,15,0,20,18.95942709584385,2018,51,4
201852,21,0,28,17.58619750881941,2018,52,4
201901,20,0,44,17.671205500545096,2019,1,4
201902,22,0,60,15.559115303594549,2019,2,4
201903,41,0,61,16.26062467676498,2019,3,4
201904,34,0,57,19.05746927704145,2019,4,4
201905,39,0,54,19.25034199373161,2019,5,4
201906,37,0,62,17.27111751130734,2019,6,4
201907,44,0,56,18.011489784552886,2019,7,4
201908,23,0,82,17.660962246674053,2019,8,4
201909,35,0,53,20.37888080845524,2019,9,1
201910,29,0,41,18.419574911434577,2019,10,1
201911,29,0,35,17.172082408519234,2019,11,1
201912,37,0,22,16.344459559399574,2019,12,1
201913,25,0,22,15.693553679742427,2019,13,1
201914,19,0,35,17.503463635867224,2019,14,1
201915,24,0,18,16.543649254715696,2019,15,1
201916,17,0,23,15.877746290402326,2019,16,1
201917,16,0,44,16.653427115757474,2019,17,1
201918,19,0,38,16.218451996385607,2019,18,1
201919,11,0,17,18.987141635072565,2019,19,1
201920,27,0,29,18.18163975694945,2019,20,1
201921,21,0,33,17.292027358683384,2019,21,1
201922,27,0,20,18.779944138890027,2019,22,1
201923,19,0,42,17.377368307647618,2019,23,2
201924,30,0,37,16.438715798671737,2019,24,2
201925,26,0,46,18.823124077269657,2019,25,2
201926,24,0,25,17.83891004368466,2019,26,2
201927,29,0,50,16.262753845673544,2019,27,2
201928,25,0,40,17.10966132191639,2019,28,2
201929,16,0,61,16.424381746615243,2019,29,2
201930,29,0,62,15.917200269035664,2019,30,2
201931,33,0,55,18.22617754753164,2019,31,2
201932,21,0,46,19.20941664047013,2019,32,2
201933,17,0,48,15.90143242618086,2019,33,2
201934,21,0,75,17.86296923669057,2019,34,2
201935,25,0,50,16.649357430878172,2019,35,2
201936,39,0,68,16.812874616235305,2019,36,3
201937,30,0,53,16.70760607576113,2019,37,3
201938,29,0,71,16.436009230320185,2019,38,3
201939,23,0,59,17.348521627944827,2019,39,3
201940,24,0,44,16.469049883588962,2019,40,3
201941,29,0,40,17.57045682577984,2019,41,3
201942,25,0,26,17.249761890550865,2019,42,3
201943,16,0,23,17.061051953133592,2019,43,3
201944,19,0,20,16.392436337958404,2019,44,3
201945,19,0,26,16.723228669431666,2019,45,3
201946,31,0,27,18.05539122582576,2019,46,3
201947,28,0,27,17.800917187624382,2019,47,3
201948,13,0,43,16.32244475520145,2019,48,3
201949,32,0,43,17.399332305429226,2019,49,4
201950,31,0,39,18.05138712337179,2019,50,4
201951,45,0,62,15.63059471887863,2019,51,4
201952,35,0,75,17.843360192379937,2019,52,4
